Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	6	0.6725	0.6712	0.0025	0	99.0825	0.378	0.0182	0.018	0.016	0	0.9175	0.132117465171594	70
Pop	109	6.125	0.6638	0.6525	0.0125	0	99.885	0.4407	0.0286	0.0236	0.0193	0	0.115	0.14134539585457	71
Pop	109	6	0.625	0.6212	0.0038	0	99.7712	0.378	0.0308	0.0282	0.0202	0	0.2287	0.134497485558953	72
Pop	109	6.125	0.66	0.6775	-0.0288	0	99.6562	0.4407	0.0293	0.0381	0.0373	0	0.3437	0.125005113829426	73
Pop	109	6.125	0.6412	0.6538	-0.0212	0	99.3125	0.4407	0.0301	0.0331	0.0247	0	0.6875	0.130733588175331	74
Pop	109	6	0.66	0.6938	-0.0488	0	99.7712	0.5	0.0305	0.0398	0.0186	0	0.2287	0.119751647978253	75
Pop	109	6.125	0.6637	0.6888	-0.0425	0	98.165	0.4407	0.0325	0.0285	0.0239	0	1.835	0.128374957526334	76
Pop	109	5.75	0.665	0.6712	-0.0038	0	99.885	0.491	0.0339	0.0418	0.0234	0	0.115	0.129644240570846	77
Pop	109	5.75	0.6412	0.6662	-0.0388	0	99.7712	0.491	0.0272	0.0302	0.0215	0	0.2287	0.135914373088685	78
Pop	109	6.125	0.6475	0.6875	-0.0638	0	99.6562	0.4407	0.0297	0.0298	0.0195	0	0.3437	0.120653160040775	79
Pop	109	5.875	0.6562	0.6762	-0.0288	0	99.6562	0.3981	0.0308	0.0366	0.0142	0	0.3437	0.127765171593612	80
Pop	109	5.75	0.6612	0.6788	-0.0288	0	99.4262	0.4119	0.0216	0.0207	0.0165	0	0.5738	0.130284012911995	81
Pop	109	6	0.655	0.6688	-0.0188	0	99.7712	0.4629	0.0312	0.0383	0.0226	0	0.2287	0.127981073734285	82
Pop	109	6	0.6688	0.6875	-0.0262	0	100	0.4629	0.03	0.0398	0.0285	0	0	0.129150747536527	83
Pop	109	6	0.6638	0.6862	-0.035	0	98.9675	0.378	0.0217	0.0226	0.0165	0	1.0325	0.128589279646619	84
Pop	109	5.875	0.645	0.6888	-0.0662	0	99.5413	0.4407	0.0268	0.0319	0.0176	0	0.4588	0.123829544682297	85
Pop	109	6.125	0.6662	0.6775	-0.0125	0	99.885	0.4407	0.0269	0.0345	0.0232	0	0.115	0.128527998640843	86
Pop	109	6	0.6225	0.6275	-0.0062	0	99.885	0.4629	0.0277	0.0296	0.0122	0	0.115	0.139888192320761	87
Pop	109	5.625	0.6462	0.6288	0.025	0	99.7712	0.375	0.0256	0.0226	0.0233	0	0.2287	0.14512003058104	88
Pop	109	5.875	0.6512	0.6362	0.0262	0	99.885	0.4407	0.0283	0.0424	0.0328	0	0.115	0.131889789330615	89
Pop	109	5.875	0.6388	0.6637	-0.0375	0	99.1975	0.4407	0.0349	0.0426	0.029	0	0.8025	0.135239432551818	90
Pop	109	6	0.6537	0.65	0.0075	0	99.3125	0.378	0.0234	0.0252	0.014	0	0.6875	0.128007611281006	91
Pop	109	6.125	0.67	0.7213	-0.0725	0	97.5913	0.4407	0.0321	0.0407	0.0146	0	2.4087	0.122046534148828	92
Pop	109	5.875	0.6525	0.6688	-0.0238	0	99.885	0.3981	0.0268	0.0349	0.0293	0	0.115	0.127370336391437	93
Pop	109	6.125	0.6575	0.675	-0.0238	0	99.885	0.4407	0.0196	0.0283	0.0236	0	0.115	0.127519113149847	94
Pop	109	5.875	0.6475	0.6838	-0.0538	0	99.5413	0.4795	0.0299	0.0356	0.0121	0	0.4588	0.124859123343527	95
Pop	109	6	0.6437	0.6688	-0.0412	0	98.165	0.378	0.029	0.029	0.0142	0	1.835	0.128211399932042	96
Pop	109	5.625	0.6375	0.6512	-0.0188	0	99.5413	0.4605	0.0316	0.0413	0.0242	0	0.4588	0.130676078831125	97
Pop	109	5.75	0.6537	0.6538	0	0	99.885	0.4119	0.0352	0.0419	0.0313	0	0.115	0.131433044512402	98
Pop	109	5.625	0.6438	0.6262	0.0238	0	99.7712	0.4978	0.031	0.0246	0.0246	0	0.2287	0.135723190621814	99
Pop	109	6.125	0.6462	0.645	0.0012	0	99.7712	0.4407	0.0283	0.0297	0.0143	0	0.2287	0.125686357458376	100
Pop	109	6.125	0.6662	0.6712	-0.0075	0	99.1975	0.4407	0.0273	0.037	0.026	0	0.8025	0.133586493374108	101
Pop	109	6	0.65	0.6888	-0.0588	0	100	0.378	0.0249	0.0299	0.0217	0	0	0.117731821270812	102
Pop	109	6	0.635	0.62	0.0312	0	99.5413	0.4629	0.0364	0.0452	0.0255	0	0.4588	0.144211467889908	103
Pop	109	6.125	0.6587	0.67	-0.02	0	99.3125	0.4407	0.0236	0.0251	0.0218	0	0.6875	0.125564271151886	104
Pop	109	6	0.6338	0.6512	-0.0288	0	98.9675	0.4629	0.0275	0.0292	0.0242	0	1.0325	0.138466394835202	105
Pop	109	5.375	0.645	0.6662	-0.035	0	100	0.375	0.0286	0.0262	0.0194	0	0	0.133438311247027	106
Pop	109	5.875	0.6338	0.65	-0.0262	0	99.6562	0.295	0.0276	0.0323	0.032	0	0.3437	0.13461620795107	107
Pop	109	5.75	0.6662	0.6962	-0.0438	0	99.6562	0.4532	0.0292	0.0333	0.0178	0	0.3437	0.125238056405029	108
Pop	109	5.75	0.6538	0.6788	-0.035	0	99.885	0.4532	0.0244	0.033	0.0201	0	0.115	0.123369826707441	109
Pop	109	5.875	0.6425	0.6587	-0.0238	0	99.6562	0.5154	0.0251	0.033	0.0208	0	0.3437	0.132092728508325	110
Pop	109	5.625	0.6475	0.6525	-0.0038	0	99.4262	0.375	0.029	0.0413	0.0374	0	0.5738	0.133695293917771	111
Pop	109	6.125	0.6488	0.6712	-0.03	0	99.6562	0.4407	0.0304	0.0392	0.0251	0	0.3437	0.122573258579681	112
Pop	109	5.75	0.6412	0.6462	-0.01	0	99.7712	0.366	0.0263	0.0282	0.0266	0	0.2287	0.138645107033639	113
Pop	109	6	0.6587	0.6925	-0.0462	0	99.6562	0.4629	0.0284	0.0403	0.0276	0	0.3437	0.122245565749235	114
Pop	109	5.875	0.635	0.66	-0.0412	0	99.1975	0.3981	0.0336	0.0333	0.0143	0	0.8025	0.127616802582399	115
Pop	109	5.75	0.66	0.6825	-0.0338	0	99.885	0.366	0.0262	0.0333	0.0254	0	0.115	0.125419401970778	116
Pop	109	6	0.6637	0.6688	-0.0088	0	99.885	0.4629	0.028	0.0288	0.0142	0	0.115	0.130151749915053	117
Pop	109	6	0.6438	0.66	-0.0225	0	99.6562	0.378	0.0301	0.0371	0.0225	0	0.3437	0.127436085626911	118
Pop	109	5.625	0.6425	0.6775	-0.0588	0	99.6562	0.4978	0.0258	0.0188	0.0239	0	0.3437	0.12529006116208	119
Pop	109	6.125	0.6587	0.69	-0.0488	0	99.4262	0.4407	0.0368	0.0426	0.0313	0	0.5738	0.126088617057424	120
Pop	109	6.125	0.655	0.6688	-0.0188	0	99.885	0.4407	0.0331	0.0386	0.0236	0	0.115	0.12621581719334	121
Pop	109	6.125	0.65	0.6662	-0.02	0	99.7712	0.4407	0.0335	0.0427	0.0164	0	0.2287	0.123817669045192	122
Pop	109	5.875	0.6562	0.6788	-0.0325	0	99.0825	0.295	0.0212	0.0305	0.0286	0	0.9175	0.136014475025484	123
Pop	109	6.125	0.6512	0.6738	-0.0338	0	99.3125	0.4407	0.0275	0.0308	0.0131	0	0.6875	0.127282144070676	124
