Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	8.625	0.7262	0.7325	-0.005	0	99.7712	0.8851	0.0307	0.0367	0.0141	0	0.2287	0.104702871219844	62
Pop	109	8.625	0.7338	0.7438	-0.0138	0	99.6562	0.9808	0.0272	0.0333	0.0221	0	0.3437	0.102728576282705	63
Pop	109	8.75	0.73	0.7575	-0.0338	0	99.7712	1.048	0.0243	0.0375	0.0221	0	0.2287	0.0960727828746177	64
Pop	109	8.375	0.725	0.7375	-0.0162	0	99.885	1.034	0.0292	0.0385	0.0252	0	0.115	0.10692208630649	65
Pop	109	8.5	0.7225	0.7575	-0.0525	0	99.6562	1.069	0.0276	0.0256	0.0164	0	0.3437	0.100357424396874	66
Pop	109	8.875	0.7325	0.7188	0.0175	0	99.3125	0.9342	0.031	0.0368	0.0268	0	0.6875	0.107989789330615	67
Pop	109	8.875	0.7388	0.7412	-0.0088	0	99.7712	0.8952	0.027	0.0209	0.0275	0	0.2287	0.104875722052328	68
Pop	109	8.75	0.7213	0.7188	0.0025	0	99.885	0.9402	0.0315	0.032	0.0162	0	0.115	0.111311331974176	69
Pop	109	8.875	0.7338	0.7338	0	0	99.885	1.0078	0.0246	0.0269	0.0192	0	0.115	0.109600730547061	70
Pop	109	8.625	0.7188	0.71	0.0062	0	99.7712	0.8224	0.0327	0.0233	0.0264	0	0.2287	0.109927047230717	71
Pop	109	8.875	0.7212	0.7388	-0.0262	0	99.4262	0.9149	0.0273	0.0337	0.0254	0	0.5738	0.108484811416922	72
Pop	109	9	0.7275	0.745	-0.0238	0	99.885	0.9258	0.0266	0.0296	0.0229	0	0.115	0.100554417261298	73
Pop	109	8.875	0.7475	0.7438	0.0062	0	99.3125	0.8332	0.0232	0.0285	0.0155	0	0.6875	0.104006999660211	74
Pop	109	9	0.735	0.74	-0.0062	0	99.6562	1	0.0277	0.0322	0.0168	0	0.3437	0.104887444784234	75
Pop	109	8.875	0.7275	0.7412	-0.0188	0	99.3125	1.0078	0.0294	0.0295	0.0197	0	0.6875	0.107355725450221	76
Pop	109	9	0.7225	0.7362	-0.0162	0	99.4262	0.9258	0.0284	0.0384	0.0195	0	0.5738	0.101289925246347	77
Pop	109	8.75	0.7275	0.7362	-0.0137	0	98.9675	0.959	0.0248	0.0246	0.0193	0	1.0325	0.107622103295957	78
Pop	109	8.5	0.7263	0.7412	-0.0225	0	99.4262	0.9063	0.0299	0.0305	0.0225	0	0.5738	0.104664424057085	79
Pop	109	8.5	0.7375	0.7775	-0.055	0	99.7712	0.9636	0.0269	0.0298	0.0173	0	0.2287	0.096150288820931	80
Pop	109	9.125	0.7138	0.7163	-0.0025	0	99.6562	0.9717	0.0282	0.0312	0.0113	0	0.3437	0.108424243968739	81
