uk.mom	uk.dad	mom.disc	dad.disc	noff	mom.p.disc	dad.p.disc	file
2	0	3	3	109	0.03	0.03	BestConfig.294.txt
2	2	2	0	109	0.02	0	BestConfig.295.txt
4	1	2	1	109	0.02	0.01	BestConfig.296.txt
1	0	0	2	109	0	0.02	BestConfig.297.txt
0	0	2	1	109	0.02	0.01	BestConfig.298.txt
4	2	4	3	109	0.04	0.03	BestConfig.299.txt
2	1	1	3	109	0.01	0.03	BestConfig.3.txt
0	0	2	2	109	0.02	0.02	BestConfig.30.txt
1	4	4	1	109	0.04	0.01	BestConfig.300.txt
0	0	2	2	109	0.02	0.02	BestConfig.301.txt
0	0	0	3	109	0	0.03	BestConfig.302.txt
4	0	2	2	109	0.02	0.02	BestConfig.303.txt
2	1	3	5	109	0.03	0.05	BestConfig.304.txt
1	0	7	3	109	0.06	0.03	BestConfig.305.txt
2	5	6	4	109	0.06	0.04	BestConfig.306.txt
1	0	1	6	109	0.01	0.06	BestConfig.307.txt
1	0	5	1	109	0.05	0.01	BestConfig.308.txt
0	0	3	2	109	0.03	0.02	BestConfig.309.txt
0	1	1	1	109	0.01	0.01	BestConfig.31.txt
0	2	2	3	109	0.02	0.03	BestConfig.310.txt
0	1	2	3	109	0.02	0.03	BestConfig.311.txt
1	2	3	4	109	0.03	0.04	BestConfig.312.txt
2	2	4	3	109	0.04	0.03	BestConfig.313.txt
2	1	2	5	109	0.02	0.05	BestConfig.314.txt
0	3	4	1	109	0.04	0.01	BestConfig.315.txt
2	0	4	3	109	0.04	0.03	BestConfig.316.txt
3	7	2	4	109	0.02	0.04	BestConfig.317.txt
0	0	0	3	109	0	0.03	BestConfig.318.txt
4	1	4	3	109	0.04	0.03	BestConfig.32.txt
1	1	2	7	109	0.02	0.06	BestConfig.320.txt
2	2	6	1	109	0.06	0.01	BestConfig.321.txt
1	8	7	1	109	0.06	0.01	BestConfig.322.txt
0	0	2	2	109	0.02	0.02	BestConfig.323.txt
1	2	3	2	109	0.03	0.02	BestConfig.324.txt
2	0	3	1	109	0.03	0.01	BestConfig.325.txt
3	1	2	6	109	0.02	0.06	BestConfig.326.txt
0	0	4	2	109	0.04	0.02	BestConfig.327.txt
1	2	3	4	109	0.03	0.04	BestConfig.328.txt
0	1	2	4	109	0.02	0.04	BestConfig.329.txt
4	1	3	2	109	0.03	0.02	BestConfig.33.txt
3	1	2	3	109	0.02	0.03	BestConfig.330.txt
0	1	6	1	109	0.06	0.01	BestConfig.331.txt
0	2	1	4	109	0.01	0.04	BestConfig.332.txt
3	0	0	2	109	0	0.02	BestConfig.333.txt
2	0	3	3	109	0.03	0.03	BestConfig.334.txt
2	0	5	4	109	0.05	0.04	BestConfig.335.txt
0	2	3	3	109	0.03	0.03	BestConfig.336.txt
0	1	1	4	109	0.01	0.04	BestConfig.337.txt
1	0	4	2	109	0.04	0.02	BestConfig.338.txt
2	2	7	4	109	0.07	0.04	BestConfig.339.txt
0	0	3	2	109	0.03	0.02	BestConfig.34.txt
0	1	1	3	109	0.01	0.03	BestConfig.340.txt
3	2	3	2	109	0.03	0.02	BestConfig.341.txt
0	2	4	6	109	0.04	0.06	BestConfig.342.txt
0	0	5	7	109	0.05	0.06	BestConfig.343.txt
0	1	3	4	109	0.03	0.04	BestConfig.344.txt
0	3	3	0	109	0.03	0	BestConfig.345.txt
0	0	3	4	109	0.03	0.04	BestConfig.346.txt
1	2	6	7	109	0.06	0.07	BestConfig.347.txt
1	1	5	6	109	0.05	0.06	BestConfig.35.txt
1	0	4	6	109	0.04	0.06	BestConfig.350.txt
1	2	3	3	109	0.03	0.03	BestConfig.351.txt
0	1	3	2	109	0.03	0.02	BestConfig.352.txt
2	0	4	1	109	0.04	0.01	BestConfig.353.txt
2	1	3	1	109	0.03	0.01	BestConfig.354.txt
1	0	4	0	109	0.04	0	BestConfig.355.txt
1	0	5	3	109	0.05	0.03	BestConfig.356.txt
1	0	1	2	109	0.01	0.02	BestConfig.357.txt
0	2	1	3	109	0.01	0.03	BestConfig.358.txt
2	0	3	1	109	0.03	0.01	BestConfig.359.txt
2	1	6	2	109	0.06	0.02	BestConfig.36.txt
1	1	4	6	109	0.04	0.06	BestConfig.360.txt
0	0	6	2	109	0.06	0.02	BestConfig.361.txt
1	3	2	4	109	0.02	0.04	BestConfig.362.txt
0	1	2	2	109	0.02	0.02	BestConfig.363.txt
0	0	2	1	109	0.02	0.01	BestConfig.364.txt
5	0	2	1	109	0.02	0.01	BestConfig.365.txt
1	0	3	1	109	0.03	0.01	BestConfig.366.txt
2	3	1	3	109	0.01	0.03	BestConfig.367.txt
1	3	3	4	109	0.03	0.04	BestConfig.368.txt
0	1	2	4	109	0.02	0.04	BestConfig.369.txt
1	1	0	2	109	0	0.02	BestConfig.37.txt
0	0	3	4	109	0.03	0.04	BestConfig.370.txt
1	0	2	2	109	0.02	0.02	BestConfig.371.txt
4	1	3	4	109	0.03	0.04	BestConfig.372.txt
0	1	1	1	109	0.01	0.01	BestConfig.373.txt
